Код,Номера,Оператор,Регион
900,802xxxx,Интеграл,Краснодарский край
900,803xxxx,Интеграл,Краснодарский край
900,804xxxx,Интеграл,Краснодарский край
900,805xxxx,Интеграл,Краснодарский край
900,806xxxx,Интеграл,Краснодарский край
900,807xxxx,Интеграл,Краснодарский край
900,808xxxx,Интеграл,Краснодарский край
900,809xxxx,Интеграл,Краснодарский край
900,810xxxx,Интеграл,Краснодарский край
900,811xxxx,Интеграл,Краснодарский край
900,8120xxx,Интеграл,Краснодарский край
900,8121xxx,Интеграл,Краснодарский край
900,8122xxx,Интеграл,Краснодарский край
900,8123xxx,Интеграл,Краснодарский край
900,8124xxx,Интеграл,Краснодарский край
900,900-8125xxx,Интеграл,Ставропольский край
900,900-8126xxx,Интеграл,Ростовская область
900,8127xxx,Интеграл,Ростовская область
900,8128xxx,Интеграл,Ростовская область
900,8129xxx,Интеграл,Ростовская область
900,813xxxx,Интеграл,Ростовская область
900,814xxxx,Интеграл,Ростовская область
900,815xxxx,Интеграл,Ростовская область
900,816xxxx,Интеграл,Ростовская область
900,817xxxx,Интеграл,Ростовская область
900,818xxxx,Интеграл,Ростовская область
900,819xxxx,Интеграл,Ростовская область
900,820xxxx,Интеграл,Ростовская область
900,821xxxx,Интеграл,Ростовская область
900,822xxxx,Интеграл,Ростовская область
900,823xxxx,Интеграл,Ростовская область
900,824xxxx,Интеграл,Ростовская область
900,900-825xxxx,Интеграл,Волгоградская область
900,826xxxx,Интеграл,Волгоградская область
900,827xxxx,Интеграл,Волгоградская область
900,828xxxx,Интеграл,Волгоградская область
900,829xxxx,Интеграл,Волгоградская область
900,830xxxx,Интеграл,Волгоградская область
900,831xxxx,Интеграл,Волгоградская область
900,832xxxx,Интеграл,Волгоградская область
900,833xxxx,Интеграл,Волгоградская область
900,834xxxx,Интеграл,Волгоградская область
900,835xxxx,Интеграл,Волгоградская область
900,836xxxx,Интеграл,Волгоградская область
900,8370xxx,Интеграл,Волгоградская область
900,8371xxx,Интеграл,Волгоградская область
900,8372xxx,Интеграл,Волгоградская область
900,8373xxx,Интеграл,Волгоградская область
900,8374xxx,Интеграл,Волгоградская область
900,900-8375xxx,Интеграл,Томская область
900,900-8376xxx,Интеграл,Хабаровский Край
900,900-8377xxx,Интеграл,Иркутская область
900,8378xxx,Интеграл,Иркутская область
900,8379xxx,Интеграл,Иркутская область
900,838xxxx,Интеграл,Иркутская область
900,839xxxx,Интеграл,Иркутская область
900,84xxxxx,Интеграл,Иркутская область
900,900-85xxxxx,Арктур,Санкт-Петербург
900,86xxxxx,Арктур,Санкт-Петербург
900,87xxxxx,Арктур,Санкт-Петербург
900,88xxxxx,Арктур,Санкт-Петербург
900,890xxxx,Арктур,Санкт-Петербург
900,891xxxx,Арктур,Санкт-Петербург
900,892xxxx,Арктур,Санкт-Петербург
900,893xxxx,Арктур,Санкт-Петербург
900,894xxxx,Арктур,Санкт-Петербург
900,895xxxx,Арктур,Санкт-Петербург
900,896xxxx,Арктур,Санкт-Петербург
900,897xxxx,Арктур,Санкт-Петербург
900,898xxxx,Арктур,Санкт-Петербург
900,900-8999xxx,Арктур,Самарская область
900,900-900xxxx,Газпром телеком,Москва
900,900-901xxxx,Tele2,Рязанская область
900,902xxxx,Tele2,Рязанская область
900,903xxxx,Tele2,Рязанская область
900,904xxxx,Tele2,Рязанская область
900,905xxxx,Tele2,Рязанская область
900,906xxxx,Tele2,Рязанская область
900,907xxxx,Tele2,Рязанская область
900,908xxxx,Tele2,Рязанская область
900,909xxxx,Tele2,Рязанская область
900,910xxxx,Tele2,Рязанская область
900,900-911xxxx,Tele2,Архангельская область
900,912xxxx,Tele2,Архангельская область
900,913xxxx,Tele2,Архангельская область
900,914xxxx,Tele2,Архангельская область
900,915xxxx,Tele2,Архангельская область
900,916xxxx,Tele2,Архангельская область
900,917xxxx,Tele2,Архангельская область
900,918xxxx,Tele2,Архангельская область
900,919xxxx,Tele2,Архангельская область
900,920xxxx,Tele2,Архангельская область
900,900-921xxxx,Tele2,Томская область
900,922xxxx,Tele2,Томская область
900,923xxxx,Tele2,Томская область
900,900-924xxxx,Tele2,Воронежская область
900,925xxxx,Tele2,Воронежская область
900,926xxxx,Tele2,Воронежская область
900,927xxxx,Tele2,Воронежская область
900,928xxxx,Tele2,Воронежская область
900,929xxxx,Tele2,Воронежская область
900,930xxxx,Tele2,Воронежская область
900,931xxxx,Tele2,Воронежская область
900,932xxxx,Tele2,Воронежская область
900,933xxxx,Tele2,Воронежская область
900,900-934xxxx,Tele2,Мурманская область
900,935xxxx,Tele2,Мурманская область
900,936xxxx,Tele2,Мурманская область
900,937xxxx,Tele2,Мурманская область
900,938xxxx,Tele2,Мурманская область
900,939xxxx,Tele2,Мурманская область
900,940xxxx,Tele2,Мурманская область
900,941xxxx,Tele2,Мурманская область
900,942xxxx,Tele2,Мурманская область
900,943xxxx,Tele2,Мурманская область
900,900-944xxxx,Tele2,Воронежская область
900,945xxxx,Tele2,Воронежская область
900,946xxxx,Tele2,Воронежская область
900,947xxxx,Tele2,Воронежская область
900,948xxxx,Tele2,Воронежская область
900,949xxxx,Tele2,Воронежская область
900,95xxxxx,Tele2,Воронежская область
900,960xxxx,Tele2,Воронежская область
900,961xxxx,Tele2,Воронежская область
900,962xxxx,Tele2,Воронежская область
900,963xxxx,Tele2,Воронежская область
900,900-964xxxx,Tele2,Рязанская область
900,965xxxx,Tele2,Рязанская область
900,966xxxx,Tele2,Рязанская область
900,967xxxx,Tele2,Рязанская область
900,968xxxx,Tele2,Рязанская область
900,969xxxx,Tele2,Рязанская область
900,970xxxx,Tele2,Рязанская область
900,971xxxx,Tele2,Рязанская область
900,972xxxx,Tele2,Рязанская область
900,973xxxx,Tele2,Рязанская область
900,900-974xxxx,Tele2,Республика Коми
900,975xxxx,Tele2,Республика Коми
900,976xxxx,Tele2,Республика Коми
900,977xxxx,Tele2,Республика Коми
900,978xxxx,Tele2,Республика Коми
900,979xxxx,Tele2,Республика Коми
900,980xxxx,Tele2,Республика Коми
900,981xxxx,Tele2,Республика Коми
900,982xxxx,Tele2,Республика Коми
900,983xxxx,Tele2,Республика Коми
900,900-984xxxx,Tele2,Тамбовская область
900,900-985xxxx,Tele2,Липецкая область
900,986xxxx,Tele2,Липецкая область
900,987xxxx,Tele2,Липецкая область
900,988xxxx,Tele2,Липецкая область
900,989xxxx,Tele2,Липецкая область
900,900-99xxxxx,Tele2,Псковская область
901,901-000xxxx,Tele2,Ростовская область
901,901-001xxxx,Tele2,Республика Северная Осетия
901,901-002xxxx,Tele2,Краснодарский край
901,003xxxx,Tele2,Краснодарский край
901,004xxxx,Tele2,Краснодарский край
901,005xxxx,Tele2,Краснодарский край
901,006xxxx,Tele2,Краснодарский край
901,007xxxx,Tele2,Краснодарский край
901,008xxxx,Tele2,Краснодарский край
901,009xxxx,Tele2,Краснодарский край
901,901-010xxxx,Tele2,Республика Адыгея
901,011xxxx,Tele2,Республика Адыгея
901,012xxxx,Tele2,Республика Адыгея
901,0130xxx,Tele2,Республика Адыгея
